Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
18.0,2006.0,2.0,576.0,1.0394747629272416,0.6398122826399764,0.17841499145207784,76.0,51.0,8.0,322.0,7.0
4.0,2008.1851867610046,7.0,576.0,0.7424476796316526,0.4358757553714794,0.1315031151831647,79.06847196694116,49.46456859172076,7.743134932607418,199.5339068589019,6.672206470394999
18.0,2008.0,9.0,576.0,1.0127700083298876,0.6009311238778059,0.17983527269674582,82.0,73.0,8.3,318.92852234851307,7.0
18.0,2009.0,2.0,576.0,0.8362740984629369,0.5076697209790888,0.1503152715854128,80.0,73.0,8.0,192.0,7.0
22.0,1996.0,11.0,576.0,1.896012511377215,1.101736314009254,0.2878883115830142,96.44104024364503,57.162561681216175,9.25604044972637,530.5218317372346,6.320070521100108
22.0,2010.3315527933587,4.0,576.0,1.0780446413573586,0.6936914285458391,0.159706589106845,83.20639616540313,81.75051369209086,7.875776972580596,392.35389428072085,5.87286815575599
19.0,2006.0,7.0,576.0,1.3169140286775303,0.8038366817633973,0.1979998774943752,89.0,65.0,8.5,431.0,7.0
18.0,2006.0,5.0,576.0,0.5730373468532477,0.36343812259383057,0.15176817474696414,58.0,41.0,6.6,129.0,7.0
18.0,2009.0,7.0,576.0,1.4236575052310343,0.8957516104181487,0.184716428797552,87.0,80.0,8.4,594.0,7.0
4.0,2006.637790708631,10.0,576.0,0.9997506909437277,0.63,0.28,82.06746793624325,52.44338079480326,7.998883689655528,237.74728328124183,6.110722470761736
19.0,2005.0,6.0,576.0,1.3744839211549547,0.8955574590951763,0.16926264206397157,96.19334463831598,63.08600702204967,7.327078246747732,351.7443434599845,8.027770219377466
19.0,2005.0,9.0,576.0,1.408238681218883,0.8531615613055319,0.21014960313605435,91.0,64.0,8.6,464.0,7.0
22.0,1999.0,11.0,576.0,1.7304784399214697,0.9694794860790674,0.2877404880645056,94.57862215852248,54.62157173278911,9.992764440309287,536.4915176634531,5.650525707515971
18.0,2007.0,2.0,576.0,0.8438997051633947,0.5152579608447709,0.15379790603778076,80.0,63.0,7.7,146.0,7.0
0.0,2010.0,5.0,404.0,0.3192602638637396,0.21543030404150176,0.24,61.0,45.0,6.3,106.0,7.0
18.0,2009.0,2.0,576.0,0.5338288369215931,0.3632122769162214,0.13289261455321721,80.0,33.0,7.4,52.0,7.0
15.0,2013.0,0.0,73.0,0.8280324913881572,0.6242169147403391,0.08493410685949954,97.0,50.0,8.2,383.101381292312,6.0
28.0,2004.0,0.0,73.0,0.8895854122990912,0.4,0.13652278018306774,95.0,80.0,9.0,276.7543858225399,6.0
30.0,1990.0,7.0,576.0,1.4817469311422968,0.7015390330239644,0.33384033083116194,97.25520250934426,49.28966796669738,10.07130202929855,12.437699387592147,5.409073420039594
19.0,2005.0,5.0,576.0,0.7351155365885518,0.4096208852831795,0.17342764703179903,77.0,58.0,7.9,50.0,7.0
19.0,2006.0,11.0,576.0,1.3104406890453646,0.7691853849226788,0.223326734714826,87.5942941800169,57.699303378277364,9.130225716162201,506.78920274843404,5.191497640188347
22.0,2005.4315311363414,7.0,576.0,1.287759814855029,0.7940279807863968,0.20993348802060652,95.30338328341202,45.330690815570506,8.739102857647637,409.75498043787957,5.077922141358515
4.0,2002.6483523851223,7.0,576.0,1.2836761468911035,0.6558026396271117,0.2216004288764175,96.476657536973,47.56265604164173,10.436146404627564,334.0671052158359,5.683442975149195
0.0,2013.0,0.0,73.0,0.8350732883900349,0.5963061869104527,0.06,97.0,58.0,8.1,379.1744640533798,6.0
28.0,2002.0,0.0,73.0,1.1707787436265136,0.72399374986853,0.14892282209179264,95.0,62.0,8.7,249.15807656251854,6.0
2.0,2002.0,11.0,576.0,1.3066425375632775,0.6878147384045885,0.20614352009659598,89.3016973461074,58.31938746650212,9.258767458550523,362.0751874698544,5.43684364241733
19.0,2005.0,4.0,576.0,0.6531450272081116,0.40988963734042816,0.1543697767152743,77.0,37.0,7.1,19.0,7.0
19.0,2010.0,11.0,576.0,1.0872903578605815,0.660658446335801,0.1944004664746668,83.84588533835205,60.62345416781545,8.820562182016616,500.9974267108046,4.805023425323984
28.0,2001.0,9.0,321.0,1.3322336402516157,0.8241305760616688,0.2177757016341193,95.0,54.0,8.4,314.0,7.0
0.0,2011.0,10.0,322.0,0.9528073295077633,0.5950211550448037,0.13,88.0,81.0,7.840547851139803,400.618520864984,6.0
22.0,1998.0,11.0,576.0,1.7439353789677412,1.0204682228288666,0.27479702002810136,89.60864776841726,44.07150621386063,8.934125179059194,557.1736074864311,5.488462559770822
20.0,2015.0,10.0,322.0,0.8025226911074128,0.6228475024147349,0.36,84.19246367034037,66.17975306793551,6.611222246661683,469.025572183491,5.552263752214316
0.0,2010.0,10.0,322.0,1.0965193036318581,0.7413734771681941,0.11,87.0,89.0,6.3,432.74692569024774,6.0
21.0,2013.0,11.0,576.0,0.8271121246843975,0.543494381573649,0.15854683199909658,83.17255948422718,63.29981433497187,8.052049683923258,392.2936467962718,5.217016749658999
15.0,2012.0,10.0,322.0,0.5692318510516827,0.5074481813209184,0.05478828383310308,83.0,21.0,5.3,294.6841067045243,6.0
0.0,2012.0,10.0,322.0,0.7859713397007155,0.508599205949543,0.07,83.0,73.0,7.520449211056771,361.3580877369459,6.0
0.0,2009.0,10.0,322.0,1.065057956068614,0.7432949975432077,0.08,94.0,63.410244459098976,6.3,381.66749712218734,6.0
