episodes,avg_reward,mode
0,94.0,inference_poisoned
20,250.61904761904762,inference_poisoned
40,254.9512195121951,inference_poisoned
60,246.59016393442624,inference_poisoned
80,247.7530864197531,inference_poisoned
100,249.07920792079207,inference_poisoned
120,249.37190082644628,inference_poisoned
140,250.45390070921985,inference_poisoned
160,251.4472049689441,inference_poisoned
180,252.33701657458565,inference_poisoned
200,250.0597014925373,inference_poisoned
220,250.17194570135746,inference_poisoned
240,250.52697095435684,inference_poisoned
260,250.55172413793105,inference_poisoned
280,251.01067615658363,inference_poisoned
300,251.50498338870432,inference_poisoned
320,252.00311526479751,inference_poisoned
340,250.68035190615836,inference_poisoned
360,250.7146814404432,inference_poisoned
380,250.91076115485563,inference_poisoned
400,250.9077306733167,inference_poisoned
420,251.19714964370547,inference_poisoned
440,251.52607709750566,inference_poisoned
460,251.87201735357917,inference_poisoned
480,250.93970893970894,inference_poisoned
500,250.85229540918164,inference_poisoned
520,246.71209213051824,inference_poisoned
540,242.87800369685766,inference_poisoned
560,239.31729055258467,inference_poisoned
580,236.00172117039588,inference_poisoned
600,232.90682196339435,inference_poisoned
620,230.0112721417069,inference_poisoned
640,227.29641185647426,inference_poisoned
660,224.74583963691376,inference_poisoned
680,222.34508076358296,inference_poisoned
700,220.08131241084166,inference_poisoned
720,217.94313453536753,inference_poisoned
740,215.92037786774628,inference_poisoned
760,214.00394218134034,inference_poisoned
780,212.18565941101153,inference_poisoned
800,210.458177278402,inference_poisoned
820,208.8148599269184,inference_poisoned
840,207.24970273483947,inference_poisoned
860,205.75725900116143,inference_poisoned
880,204.33257661748013,inference_poisoned
900,202.97114317425084,inference_poisoned
920,204.02062975027144,inference_poisoned
940,205.09245483528161,inference_poisoned
960,206.04474505723206,inference_poisoned
980,207.0835881753313,inference_poisoned
