episodes,Success rate,mode
0,0.5486111111111112,Training_poisoned
2,0.5254629629629629,Training_poisoned
4,0.5347222222222222,Training_poisoned
6,0.5158730158730159,Training_poisoned
8,0.5200617283950617,Training_poisoned
10,0.523989898989899,Training_poisoned
12,0.5213675213675214,Training_poisoned
14,0.527281746031746,Training_poisoned
16,0.5208333333333334,Training_poisoned
18,0.5148809523809523,Training_poisoned
20,0.5267857142857143,Training_poisoned
22,0.5267857142857143,Training_poisoned
24,0.5322420634920635,Training_poisoned
26,0.5446428571428571,Training_poisoned
28,0.5401785714285714,Training_poisoned
30,0.5565476190476191,Training_poisoned
32,0.5654761904761905,Training_poisoned
34,0.5669642857142857,Training_poisoned
36,0.5684523809523809,Training_poisoned
38,0.5679563492063492,Training_poisoned
40,0.5629960317460317,Training_poisoned
42,0.5629960317460317,Training_poisoned
44,0.5709325396825397,Training_poisoned
46,0.5709325396825397,Training_poisoned
48,0.5689484126984127,Training_poisoned
50,0.5813492063492064,Training_poisoned
52,0.5892857142857143,Training_poisoned
54,0.6016865079365079,Training_poisoned
56,0.6116071428571429,Training_poisoned
58,0.6076388888888888,Training_poisoned
60,0.6140873015873016,Training_poisoned
62,0.6205357142857143,Training_poisoned
64,0.6240079365079365,Training_poisoned
66,0.6279761904761905,Training_poisoned
68,0.6354166666666666,Training_poisoned
70,0.6478174603174603,Training_poisoned
72,0.6547619047619048,Training_poisoned
74,0.6631944444444444,Training_poisoned
76,0.6706349206349206,Training_poisoned
78,0.6671626984126984,Training_poisoned
80,0.6641865079365079,Training_poisoned
82,0.6572420634920635,Training_poisoned
84,0.6552579365079365,Training_poisoned
86,0.6557539682539683,Training_poisoned
88,0.658234126984127,Training_poisoned
90,0.6646825396825397,Training_poisoned
92,0.6716269841269841,Training_poisoned
94,0.6830357142857143,Training_poisoned
96,0.6924603174603174,Training_poisoned
98,0.6909722222222222,Training_poisoned
100,0.6909722222222222,Training_poisoned
102,0.6924603174603174,Training_poisoned
104,0.6984126984126984,Training_poisoned
106,0.7038690476190477,Training_poisoned
108,0.7023809523809523,Training_poisoned
110,0.7008928571428571,Training_poisoned
112,0.7018849206349206,Training_poisoned
114,0.7177579365079365,Training_poisoned
116,0.7202380952380952,Training_poisoned
118,0.7137896825396826,Training_poisoned
120,0.7177579365079365,Training_poisoned
122,0.7232142857142857,Training_poisoned
124,0.7306547619047619,Training_poisoned
126,0.7415674603174603,Training_poisoned
128,0.7385912698412699,Training_poisoned
130,0.7361111111111112,Training_poisoned
132,0.7465277777777778,Training_poisoned
134,0.7485119047619048,Training_poisoned
136,0.7435515873015873,Training_poisoned
138,0.7425595238095238,Training_poisoned
140,0.7380952380952381,Training_poisoned
142,0.7380952380952381,Training_poisoned
144,0.7450396825396826,Training_poisoned
146,0.7485119047619048,Training_poisoned
148,0.7490079365079365,Training_poisoned
150,0.7564484126984127,Training_poisoned
152,0.7569444444444444,Training_poisoned
