episodes,avg_reward,mode
0,182.0,inference_poison
20,354.76190476190476,inference_poison
40,358.9756097560976,inference_poison
60,348.9016393442623,inference_poison
80,349.4320987654321,inference_poison
100,351.44554455445547,inference_poison
120,351.8512396694215,inference_poison
140,353.48936170212767,inference_poison
160,354.72049689440996,inference_poison
180,355.6795580110497,inference_poison
200,352.9502487562189,inference_poison
220,352.7782805429864,inference_poison
240,353.344398340249,inference_poison
260,353.3869731800766,inference_poison
280,354.0996441281139,inference_poison
300,354.71760797342193,inference_poison
320,355.25856697819313,inference_poison
340,353.6744868035191,inference_poison
360,353.52908587257616,inference_poison
380,353.84776902887137,inference_poison
400,353.8503740648379,inference_poison
420,354.30403800475057,inference_poison
440,354.71655328798187,inference_poison
460,355.0932754880694,inference_poison
480,353.97713097713097,inference_poison
500,353.63273453093814,inference_poison
520,345.54702495201536,inference_poison
540,338.0591497227357,inference_poison
560,331.1051693404635,inference_poison
580,324.62994836488815,inference_poison
600,318.585690515807,inference_poison
620,312.93075684380034,inference_poison
640,307.62870514820594,inference_poison
660,302.64750378214825,inference_poison
680,297.95888399412627,inference_poison
700,293.53780313837376,inference_poison
720,289.3619972260749,inference_poison
740,285.4116059379217,inference_poison
760,281.6688567674113,inference_poison
780,278.1177976952625,inference_poison
800,274.74406991260923,inference_poison
820,271.5347137637028,inference_poison
840,268.4780023781213,inference_poison
860,265.56329849012775,inference_poison
880,262.7809307604994,inference_poison
900,260.1220865704772,inference_poison
920,262.0966340933768,inference_poison
940,264.1689691817216,inference_poison
960,266.03642039542143,inference_poison
980,268.0214067278287,inference_poison
