episodes,avg_reward,mode
0,14.0,Training_poisoned
2,7.333333333333333,Training_poisoned
4,10.0,Training_poisoned
6,4.571428571428571,Training_poisoned
8,5.777777777777778,Training_poisoned
10,6.909090909090909,Training_poisoned
12,6.153846153846154,Training_poisoned
14,8.266666666666667,Training_poisoned
16,6.235294117647059,Training_poisoned
18,5.7894736842105265,Training_poisoned
20,6.666666666666667,Training_poisoned
22,6.956521739130435,Training_poisoned
24,8.24,Training_poisoned
26,9.62962962962963,Training_poisoned
28,9.862068965517242,Training_poisoned
30,10.774193548387096,Training_poisoned
32,11.333333333333334,Training_poisoned
34,11.714285714285714,Training_poisoned
36,11.783783783783784,Training_poisoned
38,12.307692307692308,Training_poisoned
40,12.536585365853659,Training_poisoned
42,12.55813953488372,Training_poisoned
44,13.777777777777779,Training_poisoned
46,14.042553191489361,Training_poisoned
48,14.040816326530612,Training_poisoned
50,14.980392156862745,Training_poisoned
52,15.849056603773585,Training_poisoned
54,16.8,Training_poisoned
56,17.36842105263158,Training_poisoned
58,17.864406779661017,Training_poisoned
60,18.360655737704917,Training_poisoned
62,18.634920634920636,Training_poisoned
64,19.446153846153845,Training_poisoned
66,20.238805970149254,Training_poisoned
68,21.304347826086957,Training_poisoned
70,22.338028169014084,Training_poisoned
72,22.986301369863014,Training_poisoned
74,23.706666666666667,Training_poisoned
76,24.181818181818183,Training_poisoned
78,24.531645569620252,Training_poisoned
80,24.91358024691358,Training_poisoned
82,25.349397590361445,Training_poisoned
84,26.023529411764706,Training_poisoned
86,26.50574712643678,Training_poisoned
88,27.146067415730336,Training_poisoned
90,27.75824175824176,Training_poisoned
92,28.27956989247312,Training_poisoned
94,29.010526315789473,Training_poisoned
96,29.690721649484537,Training_poisoned
98,30.12121212121212,Training_poisoned
100,30.455445544554454,Training_poisoned
102,30.990291262135923,Training_poisoned
104,31.676190476190477,Training_poisoned
106,32.26168224299065,Training_poisoned
108,32.77064220183486,Training_poisoned
110,33.24324324324324,Training_poisoned
112,33.5929203539823,Training_poisoned
114,34.38260869565217,Training_poisoned
116,34.87179487179487,Training_poisoned
118,35.19327731092437,Training_poisoned
120,35.78512396694215,Training_poisoned
122,36.357723577235774,Training_poisoned
124,36.96,Training_poisoned
126,37.55905511811024,Training_poisoned
128,38.10852713178294,Training_poisoned
130,38.412213740458014,Training_poisoned
