episodes,avg_reward,mode
0,182.0,inference_normal
20,354.76190476190476,inference_normal
40,358.9756097560976,inference_normal
60,348.9016393442623,inference_normal
80,349.4320987654321,inference_normal
100,351.44554455445547,inference_normal
120,351.8512396694215,inference_normal
140,353.48936170212767,inference_normal
160,354.72049689440996,inference_normal
180,355.6795580110497,inference_normal
200,352.9502487562189,inference_normal
220,352.7782805429864,inference_normal
240,353.344398340249,inference_normal
260,353.3869731800766,inference_normal
280,354.0996441281139,inference_normal
300,354.71760797342193,inference_normal
320,355.25856697819313,inference_normal
340,353.6744868035191,inference_normal
360,353.52908587257616,inference_normal
380,353.84776902887137,inference_normal
400,353.8503740648379,inference_normal
420,354.30403800475057,inference_normal
440,354.71655328798187,inference_normal
460,355.0932754880694,inference_normal
480,353.97713097713097,inference_normal
500,353.86027944111777,inference_normal
520,354.0806142034549,inference_normal
540,354.0739371534196,inference_normal
560,354.4064171122995,inference_normal
580,354.7160068846816,inference_normal
600,355.00499168053244,inference_normal
620,354.14331723027374,inference_normal
640,354.04680187207487,inference_normal
660,354.21482602118004,inference_normal
680,354.20558002936855,inference_normal
700,354.4679029957204,inference_normal
720,354.7156726768377,inference_normal
740,354.95006747638325,inference_normal
760,354.2483574244415,inference_normal
780,354.1664532650448,inference_normal
800,354.3021223470662,inference_normal
820,354.2923264311815,inference_normal
840,354.5089179548157,inference_normal
860,354.7154471544715,inference_normal
880,354.91259931895576,inference_normal
900,354.3207547169811,inference_normal
920,354.2497285559175,inference_normal
940,354.36344314558977,inference_normal
960,354.3537981269511,inference_normal
980,354.5382262996942,inference_normal
